Date,Year,Month,Month_Name,Quarter,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
12/31/2019,2019,12,December,4,31,0,27.8,32.2,25.3,11.5,34.2
12/30/2019,2019,12,December,4,30,0,28,31.6,25.5,11.9,32
12/29/2019,2019,12,December,4,29,0,27.9,31.6,25.7,13.7,34.6
12/28/2019,2019,12,December,4,28,0,27.7,31.1,25.5,13.3,37.1
12/27/2019,2019,12,December,4,27,0,27.7,31.4,25.1,12.2,33.8
12/26/2019,2019,12,December,4,26,0,27.1,30.3,24.7,10.4,30.2
12/25/2019,2019,12,December,4,25,0,27.5,31.3,25.1,9.4,28.8
12/24/2019,2019,12,December,4,24,0,27.5,31.2,25.4,10.8,34.9
12/23/2019,2019,12,December,4,23,2.8,27.4,31.7,25.1,9.4,28.8
12/22/2019,2019,12,December,4,22,0,26.9,30.6,24.8,7.9,26.6
12/21/2019,2019,12,December,4,21,3.9,27.2,30.9,25.4,9.7,31.7
12/20/2019,2019,12,December,4,20,0,27.3,30.9,24.9,9.7,37.4
12/19/2019,2019,12,December,4,19,0,26.8,30.7,24.4,8.3,30.6
12/18/2019,2019,12,December,4,18,34.8,26.1,31.1,24,5.8,27.7
12/17/2019,2019,12,December,4,17,13.4,25.3,28.5,24.5,5,21.6
12/16/2019,2019,12,December,4,16,0,25.9,30.1,23.2,7.2,24.5
12/15/2019,2019,12,December,4,15,62.8,24.2,25.2,23.4,4.7,22.3
12/14/2019,2019,12,December,4,14,43.8,24.4,27,23,5.4,18.4
12/13/2019,2019,12,December,4,13,64.2,25.1,29.2,23,7.6,41.8
12/12/2019,2019,12,December,4,12,3.4,27,31.1,23.6,12.6,35.6
12/11/2019,2019,12,December,4,11,33.2,24.1,25.8,22.7,7.6,26.6
12/10/2019,2019,12,December,4,10,22.2,25,26.7,23,6.1,36.7
12/9/2019,2019,12,December,4,9,74.2,24.6,27.5,23.1,8.3,28.1
12/8/2019,2019,12,December,4,8,3,26.1,27.3,24.6,10.4,33.5
12/7/2019,2019,12,December,4,7,0.2,28,30,25.6,15.8,42.8
12/6/2019,2019,12,December,4,6,0,27.9,31.9,25.3,14,37.8
12/5/2019,2019,12,December,4,5,0,27.6,30.2,25.9,10.4,37.4
12/4/2019,2019,12,December,4,4,0,28.2,31.8,26,13.3,39.2
12/3/2019,2019,12,December,4,3,0,27.8,30.3,25.7,13.3,35.6
12/2/2019,2019,12,December,4,2,59.6,26.7,31.2,23.9,6.8,28.4
12/1/2019,2019,12,December,4,1,0,28.3,32.3,25.6,7.6,30.6
11/30/2019,2019,11,November,4,30,9.4,27.6,32.1,25,6.8,28.1
11/29/2019,2019,11,November,4,29,73.4,26.5,32,24,6.1,31.3
11/28/2019,2019,11,November,4,28,9,27.8,31.4,25.3,7.6,27.4
11/27/2019,2019,11,November,4,27,1.8,27.5,31.5,25.4,7.2,31.3
11/26/2019,2019,11,November,4,26,0,28.5,33,25.7,10.4,34.9
11/25/2019,2019,11,November,4,25,0,27.8,32.6,24.7,5.8,29.9
11/24/2019,2019,11,November,4,24,16.6,26.6,32.8,24.2,6.5,27
11/23/2019,2019,11,November,4,23,0.4,26.7,30.6,24.6,8.3,28.8
11/22/2019,2019,11,November,4,22,0.4,26.4,31.5,24.9,6.5,31
11/21/2019,2019,11,November,4,21,0.8,26.5,30.8,25.2,6.1,24.5
11/20/2019,2019,11,November,4,20,4,26.3,29.1,24.7,6.1,29.9
11/19/2019,2019,11,November,4,19,0,28,32.1,26.1,7.2,29.5
11/18/2019,2019,11,November,4,18,0.2,28.4,34,25.9,7.6,33.5
11/17/2019,2019,11,November,4,17,0,29,34.4,25.5,8.3,37.4
11/16/2019,2019,11,November,4,16,0,28.4,33.1,25.9,7.9,27.4
11/15/2019,2019,11,November,4,15,1.2,27.2,30.6,24.7,5.8,24.1
11/14/2019,2019,11,November,4,14,0,27.6,30.4,25.9,9.4,32.4
11/13/2019,2019,11,November,4,13,0,29,33.4,26.2,6.5,28.4
11/12/2019,2019,11,November,4,12,0,28.7,33.2,26.6,5,22.7
11/11/2019,2019,11,November,4,11,0,29.1,32.9,26.9,5.8,28.4
11/10/2019,2019,11,November,4,10,0,28.9,33.6,25,6.8,37.4
11/9/2019,2019,11,November,4,9,0,28.2,33.7,25.8,5.8,28.8
11/8/2019,2019,11,November,4,8,1.4,28.2,32.2,24,8.3,39.2
11/7/2019,2019,11,November,4,7,0,29.9,33.5,27,9,27.4
11/6/2019,2019,11,November,4,6,0.2,29.4,32.7,26.3,7.9,30.6
11/5/2019,2019,11,November,4,5,0,28.2,32.2,26.1,6.5,32
11/4/2019,2019,11,November,4,4,3.8,28.6,32.1,25.8,5,23.8
11/3/2019,2019,11,November,4,3,0,28.3,32.5,26.3,7.2,25.9
11/2/2019,2019,11,November,4,2,0,29.3,33.1,26.2,7.9,33.1
11/1/2019,2019,11,November,4,1,14.8,27.8,33.4,22.9,7.9,45.4
10/31/2019,2019,10,October,4,31,0,28.4,32.1,26.4,5,24.1
10/30/2019,2019,10,October,4,30,0,28.3,32.5,26.4,6.5,40.7
10/29/2019,2019,10,October,4,29,0,28.5,32.5,24.8,6.5,28.1
10/28/2019,2019,10,October,4,28,15.2,26.1,30.4,24.3,5.4,20.9
10/27/2019,2019,10,October,4,27,92.2,27.2,32.8,23.1,6.1,36.4
10/26/2019,2019,10,October,4,26,4.8,27.3,33,23.8,5,28.8
10/25/2019,2019,10,October,4,25,0,29.4,33.3,26.5,7.9,29.5
10/24/2019,2019,10,October,4,24,0,28.1,32.5,25.9,7.6,28.4
10/23/2019,2019,10,October,4,23,0.6,27.4,32,24.7,5.4,29.9
10/22/2019,2019,10,October,4,22,28.8,26.5,29.2,23.9,5.4,24.5
10/21/2019,2019,10,October,4,21,0,28.5,32.6,26.1,7.2,35.3
10/20/2019,2019,10,October,4,20,6.2,28.5,32.9,26.3,9,31
10/19/2019,2019,10,October,4,19,0,29.2,33.6,26.8,9.7,42.8
10/18/2019,2019,10,October,4,18,0,28.5,31.8,26.1,8.3,48.6
10/17/2019,2019,10,October,4,17,0.2,28.8,34,26.3,7.6,38.5
10/16/2019,2019,10,October,4,16,1.6,29,33.2,26.5,9,34.9
10/15/2019,2019,10,October,4,15,0,28.9,33.2,26,7.6,28.1
10/14/2019,2019,10,October,4,14,0,29.2,34.4,26.5,9.7,43.6
10/13/2019,2019,10,October,4,13,0,28.9,33.8,25.9,10.8,36
10/12/2019,2019,10,October,4,12,0.2,28.7,33.6,26.4,7.2,36.7
10/11/2019,2019,10,October,4,11,0,28.9,33.8,25.3,10.1,36.7
10/10/2019,2019,10,October,4,10,0,28.6,33.3,25.5,6.5,38.2
10/9/2019,2019,10,October,4,9,0,28,32.5,25.6,6.5,27.4
10/8/2019,2019,10,October,4,8,0,27.9,32.1,24.7,6.5,35.6
10/7/2019,2019,10,October,4,7,12.4,27.3,33.2,23.6,7.9,31.3
10/6/2019,2019,10,October,4,6,7.6,27.9,33.7,24.5,8.3,51.8
10/5/2019,2019,10,October,4,5,0.6,28.6,33.9,24.9,14.4,40
10/4/2019,2019,10,October,4,4,0.8,28.1,32.3,25.8,10.1,26.6
10/3/2019,2019,10,October,4,3,0,27.2,31.5,23.8,9,29.5
10/2/2019,2019,10,October,4,2,4,26.4,31.2,22.9,6.5,37.1
10/1/2019,2019,10,October,4,1,1.6,28,32.2,25.4,7.6,40
9/30/2019,2019,9,September,3,30,1.4,27.5,31.3,25.1,6.8,34.2
9/29/2019,2019,9,September,3,29,0,28.4,33.3,26.5,6.8,41.4
9/28/2019,2019,9,September,3,28,0,28.9,34.3,26,7.6,29.5
9/27/2019,2019,9,September,3,27,0,29.2,34.1,26.8,9.7,30.6
9/26/2019,2019,9,September,3,26,0,28.5,33.5,25.4,9,31
9/25/2019,2019,9,September,3,25,16.4,26.8,30.9,22.9,5.4,29.5
9/24/2019,2019,9,September,3,24,1.2,29,34.1,25.8,9.7,33.1
9/23/2019,2019,9,September,3,23,3.8,28.3,31.1,25.3,14,47.2
9/22/2019,2019,9,September,3,22,0,29.3,33.9,26.7,16.6,36.7
9/21/2019,2019,9,September,3,21,0,29.4,33.9,26.4,16.6,38.5
9/20/2019,2019,9,September,3,20,0,29.1,32.9,27.2,14.8,38.9
9/19/2019,2019,9,September,3,19,0,29.4,33.1,27.4,18.7,46.1
9/18/2019,2019,9,September,3,18,0,29.3,33.2,27.5,18.4,40
9/17/2019,2019,9,September,3,17,0,29.2,32.5,27,13.7,31
9/16/2019,2019,9,September,3,16,0,29,32.3,26.8,11.9,30.2
9/15/2019,2019,9,September,3,15,0,28.9,32.3,27.3,15.8,34.2
9/14/2019,2019,9,September,3,14,0,28.6,30.5,27.1,11.5,31
9/13/2019,2019,9,September,3,13,0,29.3,32.7,27.1,12.2,29.9
9/12/2019,2019,9,September,3,12,0,29.4,33.8,27,13.3,41
9/11/2019,2019,9,September,3,11,0,29.4,33.8,27,13.3,31.7
9/10/2019,2019,9,September,3,10,0,29.3,33.7,27.3,16.9,34.9
9/9/2019,2019,9,September,3,9,0,29.5,33.6,27.2,14.8,33.1
9/8/2019,2019,9,September,3,8,0,29.4,33.2,27.1,16.9,42.5
9/7/2019,2019,9,September,3,7,0,29.5,33.7,27.2,18.4,41
9/6/2019,2019,9,September,3,6,0,29.3,33.4,27,15.8,35.3
9/5/2019,2019,9,September,3,5,0,29.4,33.3,27.3,16.6,39.6
9/4/2019,2019,9,September,3,4,0,29.3,33.5,24.7,13.3,31.7
9/3/2019,2019,9,September,3,3,0,29.5,32.6,27.6,14.4,35.3
9/2/2019,2019,9,September,3,2,0,29.7,33.8,27.3,16.9,41.8
9/1/2019,2019,9,September,3,1,0,29.3,33.1,26.7,11.5,29.5
8/31/2019,2019,8,August,3,31,0,29.1,33.2,27.1,17.3,37.8
8/30/2019,2019,8,August,3,30,0,28.9,31.7,26.7,14.8,43.6
8/29/2019,2019,8,August,3,29,0,28.9,32.5,26.4,15.1,36.4
8/28/2019,2019,8,August,3,28,0.6,26.8,27.9,25.3,7.6,26.3
8/27/2019,2019,8,August,3,27,1.2,27,30.8,25.7,6.8,28.4
8/26/2019,2019,8,August,3,26,2.2,27.8,33.2,24.5,9.7,40.7
8/25/2019,2019,8,August,3,25,3.8,28.5,32.9,25.7,10.4,33.1
8/24/2019,2019,8,August,3,24,0,29.4,33.4,27.1,16.2,37.4
8/23/2019,2019,8,August,3,23,0,29.6,34,27.6,18,44.3
8/22/2019,2019,8,August,3,22,0,29.4,33.5,27.3,15.1,37.8
8/21/2019,2019,8,August,3,21,0,29.4,32.6,27.7,16.2,44.3
8/20/2019,2019,8,August,3,20,0,29.5,33.5,27.4,20.2,43.2
8/19/2019,2019,8,August,3,19,0,29.5,33.4,27.2,13.3,32
8/18/2019,2019,8,August,3,18,0,29.7,33.3,27.8,18.4,42.1
8/17/2019,2019,8,August,3,17,0,29.5,33.3,27.6,18.7,42.5
8/16/2019,2019,8,August,3,16,0,29.8,33.2,27.7,15.5,36.4
8/15/2019,2019,8,August,3,15,0,29.5,33.3,27.2,13,35.3
8/14/2019,2019,8,August,3,14,0,29.3,33.2,27.4,15.1,38.2
8/13/2019,2019,8,August,3,13,0,29.5,32.8,27.5,16.9,40
8/12/2019,2019,8,August,3,12,0,29.8,33.2,27.8,16.2,37.1
8/11/2019,2019,8,August,3,11,0,29.6,32.9,27.7,15.5,36.4
8/10/2019,2019,8,August,3,10,0,29.2,32.3,27.7,18.7,40.7
8/9/2019,2019,8,August,3,9,0,29.2,32.1,27.4,15.5,40.7
8/8/2019,2019,8,August,3,8,0,29.2,32.2,27.3,15.1,35.3
8/7/2019,2019,8,August,3,7,2.4,28.7,31.9,27.2,16.2,36.4
8/6/2019,2019,8,August,3,6,1.6,29.1,31.9,27.6,15.8,38.2
8/5/2019,2019,8,August,3,5,0,29.3,32.5,27.6,15.5,36.4
8/4/2019,2019,8,August,3,4,0,29.4,32.6,27.6,15.5,35.3
8/3/2019,2019,8,August,3,3,0,29.3,33.1,27.7,14.8,34.6
8/2/2019,2019,8,August,3,2,0,29.5,33,27.5,15.1,36
8/1/2019,2019,8,August,3,1,0,29.4,32.9,26.7,12.2,34.2
7/31/2019,2019,7,July,3,31,0,29.4,32.6,27.4,15.5,47.2
7/30/2019,2019,7,July,3,30,0,29.4,32.4,27.3,15.5,37.8
7/29/2019,2019,7,July,3,29,0,29.7,33.4,27.4,13.7,32.4
7/28/2019,2019,7,July,3,28,0.8,29,31.8,26.9,14,39.2
7/27/2019,2019,7,July,3,27,0,29.3,32.9,26.9,13.3,32.8
7/26/2019,2019,7,July,3,26,0,29.1,33,26.3,13,33.8
7/25/2019,2019,7,July,3,25,0,29.1,31.7,27.1,8.6,29.2
7/24/2019,2019,7,July,3,24,0,28.9,31.6,26.6,11.5,35.6
7/23/2019,2019,7,July,3,23,6.6,27.6,31.2,24.2,8.6,33.8
7/22/2019,2019,7,July,3,22,0,28.4,32,27.2,9.4,32.4
7/21/2019,2019,7,July,3,21,0,28.8,32.3,27,7.2,31.3
7/20/2019,2019,7,July,3,20,0,29.4,32.7,27.3,13.3,30.6
7/19/2019,2019,7,July,3,19,0,29.2,32.6,27.3,15.1,37.4
7/18/2019,2019,7,July,3,18,0,29.3,32.6,27.2,17.3,44.6
7/17/2019,2019,7,July,3,17,0,29.1,31.8,26.9,15.8,34.6
7/16/2019,2019,7,July,3,16,0.6,28.7,31.3,26.5,14.8,40
7/15/2019,2019,7,July,3,15,2,27.2,28.7,23.9,9,42.5
7/14/2019,2019,7,July,3,14,0,29.7,32.7,28,14.4,30.2
7/13/2019,2019,7,July,3,13,0,29.4,32.6,27.1,14.4,38.5
7/12/2019,2019,7,July,3,12,0,29.2,32.6,27.4,13,36.7
7/11/2019,2019,7,July,3,11,0,29.6,32.9,27.5,16.6,34.6
7/10/2019,2019,7,July,3,10,0,29.4,32.1,27.6,18.4,34.2
7/9/2019,2019,7,July,3,9,0.6,27.9,30.1,24.8,8.3,32.4
7/8/2019,2019,7,July,3,8,1.2,28.2,31.9,25.9,7.2,42.1
7/7/2019,2019,7,July,3,7,0,28.9,31.6,27.4,8.3,27.4
7/6/2019,2019,7,July,3,6,0.2,29.3,33.2,26.8,11.5,36.7
7/5/2019,2019,7,July,3,5,0,29.5,32.8,27.8,15.5,42.5
7/4/2019,2019,7,July,3,4,0,29.3,32.3,27.3,11.2,27.7
7/3/2019,2019,7,July,3,3,0.2,28.7,31,26.9,9.7,28.4
7/2/2019,2019,7,July,3,2,0,29.7,32.3,27.9,13,33.8
7/1/2019,2019,7,July,3,1,0,29.4,32.1,27.7,14.8,36
6/30/2019,2019,6,June,2,30,0,28.8,30.9,27.3,10.1,28.8
6/29/2019,2019,6,June,2,29,18.4,28.6,32,23.9,13,41.8
6/28/2019,2019,6,June,2,28,0,29.6,32.2,27.8,14.4,33.5
6/27/2019,2019,6,June,2,27,0,29.2,32.2,26.7,9.7,34.2
6/26/2019,2019,6,June,2,26,0,28.3,31.2,27.1,8.6,43.2
6/25/2019,2019,6,June,2,25,0,29.5,32.1,27.6,15.8,36.7
6/24/2019,2019,6,June,2,24,0.6,28.9,32.5,25.7,11.2,34.6
6/23/2019,2019,6,June,2,23,0,28.6,31.9,25.5,7.9,27.4
6/22/2019,2019,6,June,2,22,18.6,26.8,30.1,23.3,6.5,57.6
6/21/2019,2019,6,June,2,21,28,27.8,31.7,24.7,6.8,30.2
6/20/2019,2019,6,June,2,20,4.4,28.6,32.4,25.2,9.4,42.1
6/19/2019,2019,6,June,2,19,1.4,27.9,29.5,26.2,6.1,24.1
6/18/2019,2019,6,June,2,18,9.8,27.1,28.6,25,6.5,26.6
6/17/2019,2019,6,June,2,17,0,29.2,31.4,27.7,10.1,29.9
6/16/2019,2019,6,June,2,16,0,29.3,32.2,27.3,8.6,34.2
6/15/2019,2019,6,June,2,15,0,28.7,31.8,26.8,6.8,28.1
6/14/2019,2019,6,June,2,14,5,28.9,32.1,26.8,7.9,26.3
6/13/2019,2019,6,June,2,13,2.8,28.7,30.6,27,10.8,36.7
6/12/2019,2019,6,June,2,12,18.2,27.2,29.7,23.6,7.9,30.6
6/11/2019,2019,6,June,2,11,0,29.9,32.9,26.9,11.9,34.2
6/10/2019,2019,6,June,2,10,0,30,33,27.9,12.2,32.8
6/9/2019,2019,6,June,2,9,0.2,28.9,32,26.9,9,37.8
6/8/2019,2019,6,June,2,8,0.6,27.4,29.8,25.6,6.8,23
6/7/2019,2019,6,June,2,7,10.6,26.1,27.5,24.4,6.5,31.3
6/6/2019,2019,6,June,2,6,4,27.1,29,25.2,6.8,32
6/5/2019,2019,6,June,2,5,0,29.4,32.6,27.8,8.6,29.5
6/4/2019,2019,6,June,2,4,0,28.3,31.1,25.5,8.6,27.4
6/3/2019,2019,6,June,2,3,37.6,26.9,31.4,24.2,6.1,27.7
6/2/2019,2019,6,June,2,2,13.6,28.6,32.8,25.8,6.5,26.3
6/1/2019,2019,6,June,2,1,0,28.3,32.3,26.7,6.8,31.7
5/31/2019,2019,5,May,2,31,0.4,29,32.7,26.5,7.9,35.3
5/30/2019,2019,5,May,2,30,5,28.2,31.9,25.2,6.5,29.5
5/29/2019,2019,5,May,2,29,0,29.9,32.6,27.5,9.7,28.4
5/28/2019,2019,5,May,2,28,0,30.1,32.9,28.4,15.5,43.9
5/27/2019,2019,5,May,2,27,0,29.7,33,27.7,13.3,41
5/26/2019,2019,5,May,2,26,0,29.9,33.2,27.4,10.1,33.1
5/25/2019,2019,5,May,2,25,0,29.5,32.1,27.8,9.4,32.8
5/24/2019,2019,5,May,2,24,0,30.1,33.5,28.1,9.7,33.5
5/23/2019,2019,5,May,2,23,0,29.6,33,26.9,9,33.8
5/22/2019,2019,5,May,2,22,0,28.4,31.5,26.4,5.8,35.6
5/21/2019,2019,5,May,2,21,6,28.4,32.7,26.1,6.5,28.8
5/20/2019,2019,5,May,2,20,0,29,31.7,26.7,8.3,34.9
5/19/2019,2019,5,May,2,19,0.2,28.2,30.9,25.8,6.1,39.2
5/18/2019,2019,5,May,2,18,0,29.1,31.5,26.9,7.9,27.7
5/17/2019,2019,5,May,2,17,17.2,28.3,31.4,22.8,6.1,26.3
5/16/2019,2019,5,May,2,16,0,29.2,32.3,26.9,5.4,26.6
5/15/2019,2019,5,May,2,15,0.8,29.5,33,26.7,8.6,32.4
5/14/2019,2019,5,May,2,14,0.2,29.5,33.1,26.7,9,37.8
5/13/2019,2019,5,May,2,13,0,29.4,32.5,27.2,6.5,41
5/12/2019,2019,5,May,2,12,0,29.6,33.1,26.9,4.3,22.7
5/11/2019,2019,5,May,2,11,11,28.7,31.7,24.7,5,26.6
5/10/2019,2019,5,May,2,10,5.6,29.5,34.7,24.3,6.5,43.9
5/9/2019,2019,5,May,2,9,0,30,34.1,26.7,5.8,26.3
5/8/2019,2019,5,May,2,8,15.4,27.4,30.8,22.9,5.8,52.6
5/7/2019,2019,5,May,2,7,0,30.3,34,28,6.8,26.6
5/6/2019,2019,5,May,2,6,0,30.7,34.6,27.8,9.4,35.6
5/5/2019,2019,5,May,2,5,3.2,29,32.8,26.1,7.9,34.9
5/4/2019,2019,5,May,2,4,0.2,29.2,33,27.3,5.8,34.2
5/3/2019,2019,5,May,2,3,0,29.4,34.3,27.2,6.8,27
5/2/2019,2019,5,May,2,2,3.8,28.9,32.9,25.6,5.4,25.6
5/1/2019,2019,5,May,2,1,0,29.4,32.6,26.6,5,19.4
4/30/2019,2019,4,April,2,30,0,28.2,32.6,26.2,6.1,34.9
4/29/2019,2019,4,April,2,29,0,29.5,33.9,26.5,10.4,32.8
4/28/2019,2019,4,April,2,28,0.6,29.1,34.5,25,7.6,40.3
4/27/2019,2019,4,April,2,27,6.2,27.6,30.7,25.2,5.4,24.5
4/26/2019,2019,4,April,2,26,52.4,26.3,29.9,24,4.7,28.4
4/25/2019,2019,4,April,2,25,0,29.2,33.2,27.4,5.4,25.6
4/24/2019,2019,4,April,2,24,0,28.9,31.7,26.9,4.7,21.2
4/23/2019,2019,4,April,2,23,0,28.7,33.2,26.6,6.1,27.7
4/22/2019,2019,4,April,2,22,0,29.2,32.9,27.5,7.2,28.8
4/21/2019,2019,4,April,2,21,0,29.7,33.7,26.9,10.1,34.2
4/20/2019,2019,4,April,2,20,21.2,27.7,30.7,25,5,37.1
4/19/2019,2019,4,April,2,19,0,29,34.5,26,7.6,37.8
4/18/2019,2019,4,April,2,18,0,30,33.9,27.3,9.7,29.9
4/17/2019,2019,4,April,2,17,0,30.1,33.8,27.8,9.4,30.2
4/16/2019,2019,4,April,2,16,0,29.9,33.3,27.1,11.2,32.8
4/15/2019,2019,4,April,2,15,0.2,29.1,33.4,26.2,9,36.7
4/14/2019,2019,4,April,2,14,0,28.8,32,26.6,10.1,40.7
4/13/2019,2019,4,April,2,13,0,29.2,32.6,26.4,8.6,32.4
4/12/2019,2019,4,April,2,12,0,28.5,32,25.6,5.8,22.7
4/11/2019,2019,4,April,2,11,31.2,27.4,31.6,23.6,5,29.5
4/10/2019,2019,4,April,2,10,6,28.2,32.6,25.3,5.8,28.1
4/9/2019,2019,4,April,2,9,0,29.3,33.4,26.8,9,29.5
4/8/2019,2019,4,April,2,8,0,29,32.8,26,10.4,29.5
4/7/2019,2019,4,April,2,7,0,28.8,32.9,25.3,9.7,29.9
4/6/2019,2019,4,April,2,6,0,28.6,32.9,25.4,9.4,33.8
4/5/2019,2019,4,April,2,5,0,28.9,33.3,26.1,9.7,30.2
4/4/2019,2019,4,April,2,4,0,28.5,33.7,25,9.4,36.7
4/3/2019,2019,4,April,2,3,31,26.7,31,22.7,5.8,31
4/2/2019,2019,4,April,2,2,0,28.1,32.2,25.5,6.5,25.6
4/1/2019,2019,4,April,2,1,26,27.2,31.6,24,5,31.7
3/31/2019,2019,3,March,1,31,0,28.4,31,26.5,6.1,23
3/30/2019,2019,3,March,1,30,0,27.6,31.4,24.8,5.4,22.3
3/29/2019,2019,3,March,1,29,0,28.8,32.5,25.4,9.4,28.4
3/28/2019,2019,3,March,1,28,29,27.9,33.7,22.9,8.6,34.9
3/27/2019,2019,3,March,1,27,0,30,34.5,27.2,13.3,33.1
3/26/2019,2019,3,March,1,26,0.8,29.6,34.1,26.8,13.3,32.4
3/25/2019,2019,3,March,1,25,6.6,28.6,33.4,26.2,9.4,32.4
3/24/2019,2019,3,March,1,24,0,29,33.5,26.9,8.3,31.3
3/23/2019,2019,3,March,1,23,0,29.3,34.5,26.5,9,32
3/22/2019,2019,3,March,1,22,0,28.7,34.1,25.6,7.9,30.2
3/21/2019,2019,3,March,1,21,8.8,28,34.3,23.1,10.1,31.7
3/20/2019,2019,3,March,1,20,0,29.3,33.7,26.4,12.6,31.3
3/19/2019,2019,3,March,1,19,0,28.9,33.9,25.4,11.2,32.8
3/18/2019,2019,3,March,1,18,0,28.7,33.6,24.8,9.7,32.4
3/17/2019,2019,3,March,1,17,0,28.8,33.4,25.6,11.5,30.6
3/16/2019,2019,3,March,1,16,0,28.7,33.6,24.8,11.9,33.8
3/15/2019,2019,3,March,1,15,0,28.8,33.7,25.4,10.8,32.8
3/14/2019,2019,3,March,1,14,0,28.9,33.4,25.9,11.5,33.1
3/13/2019,2019,3,March,1,13,0,28.9,33.4,26.1,10.8,33.5
3/12/2019,2019,3,March,1,12,1.2,28.2,34.8,24.9,7.2,28.8
3/11/2019,2019,3,March,1,11,25.8,27.4,33,22.3,7.9,41
3/10/2019,2019,3,March,1,10,0,29.2,34.7,26.4,12.2,37.8
3/9/2019,2019,3,March,1,9,0,29.2,34,26.6,11.2,36.7
3/8/2019,2019,3,March,1,8,0,29.3,34.3,26.7,10.8,28.8
3/7/2019,2019,3,March,1,7,0,29.4,34.2,26.8,10.1,32
3/6/2019,2019,3,March,1,6,0,28.5,32.1,26.9,10.4,30.6
3/5/2019,2019,3,March,1,5,0,28.8,34.2,24.9,9.4,25.2
3/4/2019,2019,3,March,1,4,0,28.1,33.8,24.6,12.2,30.6
3/3/2019,2019,3,March,1,3,0,27.9,33,24.7,12.2,33.5
3/2/2019,2019,3,March,1,2,0,28.4,33,26.1,13.7,36
3/1/2019,2019,3,March,1,1,0,28.5,32.7,26,13.7,41.8
2/28/2019,2019,2,February,1,28,0,28.3,32.6,26.1,12.2,37.8
2/27/2019,2019,2,February,1,27,0.2,28,32.1,26.1,13.3,41.4
2/26/2019,2019,2,February,1,26,0,28.7,32.5,26.4,16.2,38.2
2/25/2019,2019,2,February,1,25,0,28.6,33.6,25.6,12.2,34.2
2/24/2019,2019,2,February,1,24,0,28,32.7,25.1,11.2,34.2
2/23/2019,2019,2,February,1,23,0,28.3,32.7,25.6,11.5,34.9
2/22/2019,2019,2,February,1,22,0,28.6,33.5,25.6,12.2,32.8
2/21/2019,2019,2,February,1,21,0,28.6,32.7,26.1,13.7,35.3
2/20/2019,2019,2,February,1,20,0,28.2,32.2,25.7,9.7,30.6
2/19/2019,2019,2,February,1,19,13.4,28,32.4,25.7,10.4,29.9
2/18/2019,2019,2,February,1,18,8.6,26.8,30.5,21.9,7.2,24.8
2/17/2019,2019,2,February,1,17,9.2,27.2,33.2,23,8.3,27
2/16/2019,2019,2,February,1,16,0,28.2,33.3,25.2,12.6,33.5
2/15/2019,2019,2,February,1,15,0,27.9,32.9,26,13,34.9
2/14/2019,2019,2,February,1,14,0,28.5,33.6,26.1,16.2,43.2
2/13/2019,2019,2,February,1,13,0,28.8,32.9,26.5,14.8,38.2
2/12/2019,2019,2,February,1,12,0,28.3,33.3,24.6,10.8,32.8
2/11/2019,2019,2,February,1,11,0,27.7,32,24.7,13.3,39.6
2/10/2019,2019,2,February,1,10,0,28.5,32.9,26,14,43.6
2/9/2019,2019,2,February,1,9,0,28.8,34.1,25.8,10.8,37.1
2/8/2019,2019,2,February,1,8,0,28.7,33.8,25.8,11.9,33.8
2/7/2019,2019,2,February,1,7,0,28.1,33,24.8,11.9,37.1
2/6/2019,2019,2,February,1,6,0,27.7,32.3,24.7,12.2,35.3
2/5/2019,2019,2,February,1,5,0,28.2,32.4,25.6,11.5,35.6
2/4/2019,2019,2,February,1,4,0,28.7,33,25.8,12.2,32.8
2/3/2019,2019,2,February,1,3,0,28.4,32.9,26.4,13.7,36
2/2/2019,2019,2,February,1,2,0.2,28.2,32.4,25.9,12.6,33.5
2/1/2019,2019,2,February,1,1,0,28.1,32,25.6,14,38.9
1/31/2019,2019,1,January,1,31,0,27.6,31.6,25.2,10.4,34.2
1/30/2019,2019,1,January,1,30,0,27.8,31.6,25.7,13.3,33.8
1/29/2019,2019,1,January,1,29,0.2,27.8,31.8,26,13.7,38.2
1/28/2019,2019,1,January,1,28,0.6,26.8,28.4,25.8,10.4,32
1/27/2019,2019,1,January,1,27,0,27.9,31.3,25.7,13.3,39.2
1/26/2019,2019,1,January,1,26,0,27.4,30.4,25.6,13.3,34.6
1/25/2019,2019,1,January,1,25,0.4,27.2,30.2,25,12.2,34.2
1/24/2019,2019,1,January,1,24,0,27.6,31.1,25.8,14.8,40.3
1/23/2019,2019,1,January,1,23,0.2,28,31.4,25.6,14.4,47.5
1/22/2019,2019,1,January,1,22,0,27.6,31,25.6,10.8,32
1/21/2019,2019,1,January,1,21,1.4,27.8,31.9,25.9,10.1,33.8
1/20/2019,2019,1,January,1,20,0,28.1,32.2,25.3,11.2,35.3
1/19/2019,2019,1,January,1,19,0,27.2,31.1,24.6,9.4,33.1
1/18/2019,2019,1,January,1,18,38.2,25.8,28.4,23.5,8.6,31.7
1/17/2019,2019,1,January,1,17,16.2,26.9,32.6,23.8,7.9,31.7
1/16/2019,2019,1,January,1,16,0,28.1,32.3,25.8,9.4,31.7
